2026-05-08 14:11:43,911 (13256)|13256 DEBUG   webmiddlew check_sess (91): /static/assets/bootstrap/font/bootstrap-icons.css
2026-05-08 14:11:43,911 (13256)|13256 DEBUG   webmiddlew check_sess (95): No need to check session. Only media!
2026-05-08 14:11:43,911 (13256)|13256 DEBUG   webmiddlew dispatch   (69): Session check result: None
2026-05-08 14:11:43,917 (13256)|13256 DEBUG   webmiddlew dispatch   (61): Now call handler for /static/assets/fontawesome/css/all.min.css
2026-05-08 14:11:43,918 (13256)|13256 DEBUG   webmiddlew check_sess (90): sys.path=['/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/etc', '/usr/lib/python313.zip', '/usr/lib/python3.13', '/usr/lib/python3.13/lib-dynload', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/.venv/lib/python3.13/site-packages', '/usr/lib/python3.13/site-packages', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser']
2026-05-08 14:11:43,918 (13256)|13256 DEBUG   webmiddlew check_sess (91): /static/assets/fontawesome/css/all.min.css
2026-05-08 14:11:43,918 (13256)|13256 DEBUG   webmiddlew check_sess (95): No need to check session. Only media!
2026-05-08 14:11:43,918 (13256)|13256 DEBUG   webmiddlew dispatch   (69): Session check result: None
2026-05-08 14:11:43,919 (13256)|13256 DEBUG   webmiddlew dispatch   (61): Now call handler for /static/assets/img/logo2-icon.png
2026-05-08 14:11:43,919 (13256)|13256 DEBUG   webmiddlew check_sess (90): sys.path=['/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/etc', '/usr/lib/python313.zip', '/usr/lib/python3.13', '/usr/lib/python3.13/lib-dynload', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/.venv/lib/python3.13/site-packages', '/usr/lib/python3.13/site-packages', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser']
2026-05-08 14:11:43,919 (13256)|13256 DEBUG   webmiddlew check_sess (91): /static/assets/img/logo2-icon.png
2026-05-08 14:11:43,919 (13256)|13256 DEBUG   webmiddlew check_sess (95): No need to check session. Only media!
2026-05-08 14:11:43,919 (13256)|13256 DEBUG   webmiddlew dispatch   (69): Session check result: None
2026-05-08 14:11:43,920 (13256)|13256 DEBUG   webmiddlew dispatch   (61): Now call handler for /static/assets/img/logo.png
2026-05-08 14:11:43,920 (13256)|13256 DEBUG   webmiddlew check_sess (90): sys.path=['/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/etc', '/usr/lib/python313.zip', '/usr/lib/python3.13', '/usr/lib/python3.13/lib-dynload', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/.venv/lib/python3.13/site-packages', '/usr/lib/python3.13/site-packages', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser']
2026-05-08 14:11:43,920 (13256)|13256 DEBUG   webmiddlew check_sess (91): /static/assets/img/logo.png
2026-05-08 14:11:43,920 (13256)|13256 DEBUG   webmiddlew check_sess (95): No need to check session. Only media!
2026-05-08 14:11:43,920 (13256)|13256 DEBUG   webmiddlew dispatch   (69): Session check result: None
2026-05-08 14:11:43,921 (13256)|13256 DEBUG   webmiddlew dispatch   (61): Now call handler for /static/assets/js/jquery.min.js
2026-05-08 14:11:43,921 (13256)|13256 DEBUG   webmiddlew check_sess (90): sys.path=['/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/etc', '/usr/lib/python313.zip', '/usr/lib/python3.13', '/usr/lib/python3.13/lib-dynload', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/.venv/lib/python3.13/site-packages', '/usr/lib/python3.13/site-packages', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser']
2026-05-08 14:11:43,921 (13256)|13256 DEBUG   webmiddlew check_sess (91): /static/assets/js/jquery.min.js
2026-05-08 14:11:43,921 (13256)|13256 DEBUG   webmiddlew check_sess (95): No need to check session. Only media!
2026-05-08 14:11:43,921 (13256)|13256 DEBUG   webmiddlew dispatch   (69): Session check result: None
2026-05-08 14:11:43,922 (13256)|13256 DEBUG   webmiddlew dispatch   (61): Now call handler for /static/assets/js/sweetalert2.all.min.js
2026-05-08 14:11:43,922 (13256)|13256 DEBUG   webmiddlew check_sess (90): sys.path=['/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/etc', '/usr/lib/python313.zip', '/usr/lib/python3.13', '/usr/lib/python3.13/lib-dynload', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/.venv/lib/python3.13/site-packages', '/usr/lib/python3.13/site-packages', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser']
2026-05-08 14:11:43,922 (13256)|13256 DEBUG   webmiddlew check_sess (91): /static/assets/js/sweetalert2.all.min.js
2026-05-08 14:11:43,923 (13256)|13256 DEBUG   webmiddlew check_sess (95): No need to check session. Only media!
2026-05-08 14:11:43,923 (13256)|13256 DEBUG   webmiddlew dispatch   (69): Session check result: None
2026-05-08 14:11:43,927 (13256)|13256 DEBUG   webmiddlew dispatch   (83): Response send code: 304
2026-05-08 14:11:43,931 (13256)|13256 DEBUG   webmiddlew dispatch   (83): Response send code: 304
2026-05-08 14:11:43,931 (13256)|13256 DEBUG   webmiddlew dispatch   (83): Response send code: 304
2026-05-08 14:11:43,932 (13256)|13256 DEBUG   webmiddlew dispatch   (83): Response send code: 304
2026-05-08 14:11:43,932 (13256)|13256 DEBUG   webmiddlew dispatch   (83): Response send code: 304
2026-05-08 14:11:43,942 (13256)|13256 DEBUG   webmiddlew dispatch   (61): Now call handler for /static/assets/bootstrap/js/bootstrap.bundle.min.js
2026-05-08 14:11:43,942 (13256)|13256 DEBUG   webmiddlew check_sess (90): sys.path=['/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/etc', '/usr/lib/python313.zip', '/usr/lib/python3.13', '/usr/lib/python3.13/lib-dynload', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/.venv/lib/python3.13/site-packages', '/usr/lib/python3.13/site-packages', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser']
2026-05-08 14:11:43,942 (13256)|13256 DEBUG   webmiddlew check_sess (91): /static/assets/bootstrap/js/bootstrap.bundle.min.js
2026-05-08 14:11:43,942 (13256)|13256 DEBUG   webmiddlew check_sess (95): No need to check session. Only media!
2026-05-08 14:11:43,942 (13256)|13256 DEBUG   webmiddlew dispatch   (69): Session check result: None
2026-05-08 14:11:43,944 (13256)|13256 DEBUG   webmiddlew dispatch   (83): Response send code: 304
2026-05-08 14:11:43,949 (13256)|13256 DEBUG   webmiddlew dispatch   (61): Now call handler for /static/assets/js/web.deploy.js
2026-05-08 14:11:43,950 (13256)|13256 DEBUG   webmiddlew check_sess (90): sys.path=['/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/etc', '/usr/lib/python313.zip', '/usr/lib/python3.13', '/usr/lib/python3.13/lib-dynload', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/.venv/lib/python3.13/site-packages', '/usr/lib/python3.13/site-packages', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser']
2026-05-08 14:11:43,950 (13256)|13256 DEBUG   webmiddlew check_sess (91): /static/assets/js/web.deploy.js
2026-05-08 14:11:43,950 (13256)|13256 DEBUG   webmiddlew check_sess (95): No need to check session. Only media!
2026-05-08 14:11:43,950 (13256)|13256 DEBUG   webmiddlew dispatch   (69): Session check result: None
2026-05-08 14:11:43,953 (13256)|13256 DEBUG   webmiddlew dispatch   (83): Response send code: 304
2026-05-08 14:11:43,958 (13256)|13256 DEBUG   webmiddlew dispatch   (83): Response send code: 304
2026-05-08 14:11:56,122 (13256)|13256 DEBUG   webmiddlew dispatch   (61): Now call handler for /settings
2026-05-08 14:11:56,126 (13256)|13256 DEBUG   webmiddlew check_sess (90): sys.path=['/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/etc', '/usr/lib/python313.zip', '/usr/lib/python3.13', '/usr/lib/python3.13/lib-dynload', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/.venv/lib/python3.13/site-packages', '/usr/lib/python3.13/site-packages', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser']
2026-05-08 14:11:56,126 (13256)|13256 DEBUG   webmiddlew check_sess (91): /settings
2026-05-08 14:11:56,128 (13256)|13256 DEBUG   webmiddlew dispatch   (69): Session check result: None
2026-05-08 14:11:56,133 (13256)|13256 DEBUG   routes.py  show_setti (157): Call settings
2026-05-08 14:11:56,135 (13256)|13256 DEBUG   routes.py  show_setti (160): Send response
2026-05-08 14:11:56,139 (13256)|13256 DEBUG   workflow.p get_workfl (210): len len(step_mapping)=18, len(workflow_dict["step_action"])=1
2026-05-08 14:11:56,140 (13256)|13256 WARNING workflow.p get_all_wo (114): Use of old workflow file: /home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/etc/workflow.json. Migrate to single etc/workflows/*.json file for each workflow!
2026-05-08 14:11:56,141 (13256)|13256 DEBUG   routes.py  get_sideba (31): Sidebar: {'projects': ['test'], 'current_user': 'PROUZA', 'logs': ['index.log', '.gitkeep'], 'active': 'settings'}
2026-05-08 14:11:56,270 (13256)|13256 DEBUG   webmiddlew dispatch   (83): Response send code: 200
2026-05-08 14:11:56,301 (13256)|13256 DEBUG   webmiddlew dispatch   (61): Now call handler for /static/assets/bootstrap/css/bootstrap.min.css
2026-05-08 14:11:56,301 (13256)|13256 DEBUG   webmiddlew check_sess (90): sys.path=['/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/etc', '/usr/lib/python313.zip', '/usr/lib/python3.13', '/usr/lib/python3.13/lib-dynload', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/.venv/lib/python3.13/site-packages', '/usr/lib/python3.13/site-packages', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser']
2026-05-08 14:11:56,302 (13256)|13256 DEBUG   webmiddlew check_sess (91): /static/assets/bootstrap/css/bootstrap.min.css
2026-05-08 14:11:56,302 (13256)|13256 DEBUG   webmiddlew check_sess (95): No need to check session. Only media!
2026-05-08 14:11:56,302 (13256)|13256 DEBUG   webmiddlew dispatch   (69): Session check result: None
2026-05-08 14:11:56,307 (13256)|13256 DEBUG   webmiddlew dispatch   (61): Now call handler for /static/assets/bootstrap/font/bootstrap-icons.css
2026-05-08 14:11:56,307 (13256)|13256 DEBUG   webmiddlew check_sess (90): sys.path=['/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/etc', '/usr/lib/python313.zip', '/usr/lib/python3.13', '/usr/lib/python3.13/lib-dynload', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/.venv/lib/python3.13/site-packages', '/usr/lib/python3.13/site-packages', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser']
2026-05-08 14:11:56,307 (13256)|13256 DEBUG   webmiddlew check_sess (91): /static/assets/bootstrap/font/bootstrap-icons.css
2026-05-08 14:11:56,307 (13256)|13256 DEBUG   webmiddlew check_sess (95): No need to check session. Only media!
2026-05-08 14:11:56,307 (13256)|13256 DEBUG   webmiddlew dispatch   (69): Session check result: None
2026-05-08 14:11:56,321 (13256)|13256 DEBUG   webmiddlew dispatch   (61): Now call handler for /static/assets/fontawesome/css/all.min.css
2026-05-08 14:11:56,321 (13256)|13256 DEBUG   webmiddlew check_sess (90): sys.path=['/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/etc', '/usr/lib/python313.zip', '/usr/lib/python3.13', '/usr/lib/python3.13/lib-dynload', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/.venv/lib/python3.13/site-packages', '/usr/lib/python3.13/site-packages', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser']
2026-05-08 14:11:56,321 (13256)|13256 DEBUG   webmiddlew check_sess (91): /static/assets/fontawesome/css/all.min.css
2026-05-08 14:11:56,322 (13256)|13256 DEBUG   webmiddlew check_sess (95): No need to check session. Only media!
2026-05-08 14:11:56,322 (13256)|13256 DEBUG   webmiddlew dispatch   (69): Session check result: None
2026-05-08 14:11:56,323 (13256)|13256 DEBUG   webmiddlew dispatch   (61): Now call handler for /static/assets/img/logo2-icon.png
2026-05-08 14:11:56,323 (13256)|13256 DEBUG   webmiddlew check_sess (90): sys.path=['/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/etc', '/usr/lib/python313.zip', '/usr/lib/python3.13', '/usr/lib/python3.13/lib-dynload', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/.venv/lib/python3.13/site-packages', '/usr/lib/python3.13/site-packages', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser']
2026-05-08 14:11:56,323 (13256)|13256 DEBUG   webmiddlew check_sess (91): /static/assets/img/logo2-icon.png
2026-05-08 14:11:56,324 (13256)|13256 DEBUG   webmiddlew check_sess (95): No need to check session. Only media!
2026-05-08 14:11:56,324 (13256)|13256 DEBUG   webmiddlew dispatch   (69): Session check result: None
2026-05-08 14:11:56,325 (13256)|13256 DEBUG   webmiddlew dispatch   (61): Now call handler for /static/assets/img/logo.png
2026-05-08 14:11:56,325 (13256)|13256 DEBUG   webmiddlew check_sess (90): sys.path=['/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/etc', '/usr/lib/python313.zip', '/usr/lib/python3.13', '/usr/lib/python3.13/lib-dynload', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/.venv/lib/python3.13/site-packages', '/usr/lib/python3.13/site-packages', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser']
2026-05-08 14:11:56,325 (13256)|13256 DEBUG   webmiddlew check_sess (91): /static/assets/img/logo.png
2026-05-08 14:11:56,325 (13256)|13256 DEBUG   webmiddlew check_sess (95): No need to check session. Only media!
